sIP,sport,dIP,dport,,timestamp,Cd/Cp,Sd/Sp,C0/Sd,S0/Cd,Cd/Pd,Sd/Pd,Cf/Cd,Sf/Sd,Ca1/Cd,Ca2/Cd,Ca4/Cd,Sa2/Sd,Sa4/Sd
150.57.248.121,443,59.174.128.9,59412,,0,0,1,0,0,0,1,0,0,0,0,0,0,1
59.174.128.9,59412,150.57.248.121,443,,0,1,0,0,0,1,0,0,0,0,0,1,0,0
150.57.248.121,80,115.75.124.167,43695,,1,0,1,0,0,0,1,0,0.1188,0,0,0,0.0099,0.9703
115.75.124.167,43695,150.57.248.121,80,,1,1,0,0,0,1,0,0.1188,0,0.0198,0.0099,0.9703,0,0
150.57.248.121,443,101.30.224.224,50487,,0,0,1,0,0,0,1,0,0.3564,0,0,0,0.0099,0.9901
101.30.224.224,50487,150.57.248.121,443,,0,1,0,0,0,1,0,0.3564,0,0,0.0099,0.9901,0,0
150.57.248.121,80,153.156.41.183,52013,,0,0,1,0.5446,0,0,1,0,0.2475,0,0,0,0,0.9802
153.156.41.183,52013,150.57.248.121,80,,0,1,0,0,0.5446,1,0,0.2475,0,0,0,0.9802,0,0
150.57.248.121,443,223.216.77.26,18771,,1,0,0.9703,0,0,0,1,0,0.3469,0,0,0,0,1
223.216.77.26,18771,150.57.248.121,443,,1,0.9703,0,0,0,1,0,0.3469,0,0,0,1,0,0
150.57.182.64,56418,155.153.54.212,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.153.54.212,80,150.57.182.64,56418,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.57.248.121,80,115.75.124.166,47174,,1,0,1,0,0,0,1,0,0.0396,0,0,0,0,1
115.75.124.166,47174,150.57.248.121,80,,1,1,0,0,0,1,0,0.0396,0,0,0,1,0,0
